Date,Open,High,Low,Close,Volume
12-08-2011,17246.88086,17246.88086,16784.56055,16839.63086,13400
16-08-2011,17015.99023,17035.49023,16673.51953,16730.93945,12600
17-08-2011,16782.24023,17000.38086,16708.98047,16840.80078,15000
18-08-2011,16910.26953,16916.81055,16433.31055,16469.78906,14600
19-08-2011,16237.78027,16287.71973,15987.76953,16141.66992,16400
22-08-2011,16155.99023,16370.45996,16046.48047,16341.7002,11600
23-08-2011,16446.84961,16549.21094,16213.17969,16498.4707,11400
24-08-2011,16490.7793,16533.2207,16253.78027,16284.98047,13600
25-08-2011,16338.13965,16373.83984,16104.33984,16146.33008,12200
26-08-2011,16155.54981,16256.37988,15765.53027,15848.83008,14200
29-08-2011,16080.74023,16462.0293,16068.73047,16416.33008,11200
30-08-2011,16585.09961,16714.69922,16443.34961,16676.75,15200
02-09-2011,16963.66992,16989.85938,16688.06055,16821.46094,12800
05-09-2011,16678.33984,16760.07031,16561.46094,16713.33008,12200
06-09-2011,16663.73047,16894.73047,16488.30078,16862.81055,14600
07-09-2011,16922.31055,17157.21094,16922.31055,17065,17400
08-09-2011,17118.08008,17209.66016,16987.36914,17165.53906,12200
09-09-2011,17189.75,17211.80078,16830.94922,16866.9707,11800
12-09-2011,16668.25,16668.25,16393.03906,16501.74023,13400
13-09-2011,16618.16992,16766.18945,16374.67969,16467.43945,14600
14-09-2011,16522.71094,16754.2207,16387.38086,16709.59961,16000
15-09-2011,16837.75977,16922.40039,16545.4707,16876.53906,15400
16-09-2011,17047.73047,17122.53906,16889.58008,16933.83008,20400
19-09-2011,16865.92969,16865.92969,16709.41016,16745.34961,11600
20-09-2011,16768.63086,17135.43945,16758.68945,17099.2793,14200
21-09-2011,17128.83008,17191.11914,17000.60938,17065.15039,13400
22-09-2011,16827.84961,16833.60938,16316.03027,16361.15039,18400
23-09-2011,16222.37012,16368.41016,16052.46973,16162.05957,22000
26-09-2011,16209.19043,16209.19043,15801.00977,16051.09961,18800
27-09-2011,16289.32031,16551.65039,16282.74023,16524.0293,16200
28-09-2011,16663.25977,16663.25977,16363.62988,16446.01953,19600
29-09-2011,16387.91016,16756.08008,16316.66016,16698.07031,19200
30-09-2011,16599.74023,16745.16016,16404.7793,16453.75977,20000
